Restaurant,Discount,TDC,Cuando,Comuna,Ends,TipoComida

The Top Pizza,20%,CMR,Todos los dias,Nacional,07/06/2026,

DÝa de la hamburguesa cmr puntos,1%,CMR,Todos los dias,Nacional,28/05/2026,

Cantina Varas,40%,CMR,"Lun, Mar, Mie, Jue, Vie, Sab",Santiago (RM),31/05/2026,

Anima Cocktail Lab,40%,CMR,"Mie, Jue, Sab",Santiago (RM),31/05/2026,

BerlÝn Doner Kebab,40%,CMR,"Lun, Mar, Jue",Santiago (RM),31/05/2026,

De Barrio,40%,CMR,"Lun, Mar, Mie, Jue",Santiago (RM),31/05/2026,

Enrique Tomßs,40%,CMR,"Lun, Mar, Mie, Jue, Vie",Santiago (RM),31/05/2026,

Mooi,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Frida Kahlo,40%,CMR,"Lun, Mar, Mie, Jue, Dom",Santiago (RM),31/05/2026,

Muu grill,40%,CMR,Todos los dias,RM / Valparaiso,31/05/2026,

Cabrera al Paso,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Tanta,40%,CMR,Todos los dias,RM / Valparaiso,31/05/2026,

El japones,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Mamma mia,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

La piazza,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

La patrona,40%,CMR,"Lun, Mar, Mie, Jue",Santiago (RM),31/05/2026,

Paris texas,40%,CMR,"Lun, Mar, Mie, Jue",Santiago (RM),31/05/2026,

Take a wok,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

La sanguchera del barrio,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Ekeko,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Badass,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Vendetta,40%,CMR,"Lun, Mar, Mie, Jue",Santiago (RM),31/05/2026,

Milß,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Jalisco,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Barra Chalaca,40%,CMR,Todos los dias,RM / Valparaiso,31/05/2026,

Udon,40%,CMR,"Lun, Mar, Mie, Jue, Vie",Santiago (RM),31/05/2026,

El Bodegon,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Fuente Suiza,40%,CMR,"Lun, Mar, Mie, Jue",Santiago (RM),31/05/2026,

La santorÝa,40%,CMR,"Mie, Jue, Vie, Sab, Dom",Santiago (RM),31/05/2026,

Siete cortes,40%,CMR,"Mie, Jue, Vie, Sab",Santiago (RM),31/05/2026,

Meson del marinero,40%,CMR,"Mie, Jue, Vie, Sab",Santiago (RM),31/05/2026,

Local Burger,40%,CMR,Jue,Santiago (RM),31/05/2026,

Sushi Home,40%,CMR,Jue,Regiľn de ValparaÝso,31/05/2026,

Fidelio,40%,CMR,Jue,Regiľn de ValparaÝso,31/05/2026,

Terraangamos,40%,CMR,Jue,Regiľn de BiobÝo,31/05/2026,

CervecerÝa Kunstmann Valdivia,40%,CMR,Jue,Regiľn de Los RÝos,31/05/2026,

Taberna Nose Puerto Varas,40%,CMR,Jue,Region de Los Lagos,31/05/2026,

Corazon Continto Valparaiso,40%,CMR,Jue,Regiľn de ValparaÝso,31/05/2026,

Club de restaurantes,20%,CMR,Todos los dias,Nacional,31/12/2026,

Pescados capitales,40%,CMR Elite,Jue,Santiago (RM),31/05/2026,

